date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:11:12	4167/4167	---M--	200	added ('OK')	image/png	etag:%221047-5d911f77898f9%22	https://pinkylam.me/playground/random-name-picker/assets/images/touch-icons/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/draw/pinkylam.me/playground/random-name-picker/assets/images/touch-icons/apple-touch-icon-76x76.png	(from https://pinkylam.me/playground/random-name-picker/)
18:11:12	3878/3878	---M--	200	added ('OK')	image/png	etag:%22f26-5d911f77d05d0%22	https://pinkylam.me/playground/random-name-picker/assets/images/touch-icons/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/draw/pinkylam.me/playground/random-name-picker/assets/images/touch-icons/apple-touch-icon-72x72.png	(from https://pinkylam.me/playground/random-name-picker/)
18:11:12	2904/2904	---M--	200	added ('OK')	image/png	etag:%22b58-5d911f7799acb%22	https://pinkylam.me/playground/random-name-picker/assets/images/touch-icons/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/draw/pinkylam.me/playground/random-name-picker/assets/images/touch-icons/apple-touch-icon-57x57.png	(from https://pinkylam.me/playground/random-name-picker/)
18:11:13	463272/463272	---M--	200	added ('OK')	image/x-icon	etag:%22711a8-5d911f7507362%22	https://pinkylam.me/playground/random-name-picker/assets/images/favicon.ico	C:/My%20Web%20Sites/draw/pinkylam.me/playground/random-name-picker/assets/images/favicon.ico	(from https://pinkylam.me/playground/random-name-picker/)
18:11:13	104075/104075	---MC-	200	added ('OK')	application/javascript	date:Sun,%2028%20Aug%202022%2015:11:12%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-54B6D4G	C:/My%20Web%20Sites/draw/www.googletagmanager.com/gtm84c4.js	(from https://pinkylam.me/playground/random-name-picker/)
18:11:14	186489/186489	---M--	200	added ('OK')	application/javascript	etag:%222d879-5d911f7557c7a%22	https://pinkylam.me/playground/random-name-picker/assets/js/vendor.e66a8337.js	C:/My%20Web%20Sites/draw/pinkylam.me/playground/random-name-picker/assets/js/vendor.e66a8337.js	(from https://pinkylam.me/playground/random-name-picker/)
18:11:14	11750/11750	---M--	200	added ('OK')	application/javascript	etag:%222de6-5d911f75380a6%22	https://pinkylam.me/playground/random-name-picker/assets/js/app.d7f89e93.js	C:/My%20Web%20Sites/draw/pinkylam.me/playground/random-name-picker/assets/js/app.d7f89e93.js	(from https://pinkylam.me/playground/random-name-picker/)
18:11:15	11445/11445	---M--	200	added ('OK')	text/css	etag:%222cb5-5d911f764d642%22	https://pinkylam.me/playground/random-name-picker/assets/css/app.d7f89e93.css	C:/My%20Web%20Sites/draw/pinkylam.me/playground/random-name-picker/assets/css/app.d7f89e93.css	(from https://pinkylam.me/playground/random-name-picker/)
18:11:15	11731/11731	---M--	200	added ('OK')	image/svg+xml	etag:%222dd3-5d911f75b1232%22	https://pinkylam.me/playground/random-name-picker/assets/images/svg/title.3af72c2.svg	C:/My%20Web%20Sites/draw/pinkylam.me/playground/random-name-picker/assets/images/svg/title.3af72c2.svg	(from https://pinkylam.me/playground/random-name-picker/)
18:11:15	17025/17025	---M--	200	added ('OK')	image/svg+xml	etag:%224281-5d911f7598f78%22	https://pinkylam.me/playground/random-name-picker/assets/images/svg/sunburst.0838324.svg	C:/My%20Web%20Sites/draw/pinkylam.me/playground/random-name-picker/assets/images/svg/sunburst.0838324.svg	(from https://pinkylam.me/playground/random-name-picker/)
18:11:15	9601/9601	---M--	200	added ('OK')	image/svg+xml	etag:%222581-5d911f7585ec6%22	https://pinkylam.me/playground/random-name-picker/assets/images/svg/light-blubs.0d2ddfd.svg	C:/My%20Web%20Sites/draw/pinkylam.me/playground/random-name-picker/assets/images/svg/light-blubs.0d2ddfd.svg	(from https://pinkylam.me/playground/random-name-picker/assets/css/app.d7f89e93.css)
